# id        Nep   period     totamp   A1      A2      A3      phi1     phi2     phi3     phi21     phi31    meanmag   cost     costN          aper   phcov   phcov2   snr      Npt   order   minmax   FeH_S05   OGLEID    Imean_ogle   Vmean_ogle   VmI          FeH_S16J                phi31v               phi31Kp              FeH_S16N              
  smc0077   408   0.604367   0.441    0.159   0.069   0.048   0.019    2.718    -0.555   8.9634    5.671    19.039    0.612    0.0015         1      0.985   0.98     132.9    408   5       0.878    -1.825    smc0077   19.023       19.611       0.5720005    -1.5757150707533558     5.001299404417465    5.175299404417466    -1.7255191177460176   
  smc0078   505   0.635149   0.519    0.188   0.07    0.059   -0.016   2.678    -0.756   8.9937    5.5763   18.94     0.6259   0.0012394058   1      0.986   0.989    195.9    505   5       0.802    -2.065    smc0078   18.92        19.472       0.5319996    -1.8208803305958332     4.94237993422829     5.1163799342282905   -2.110850121829408    
  smc0079   505   0.682709   0.28     0.112   0.041   0.024   -0.007   2.849    0.094    9.1469    6.3985   19.027    0.6938   0.0013738613   1      0.986   0.985    103.1    505   5       0.604    -1.743    smc0079   19.016       19.615       0.58799934   -1.2923273144121543     5.5269028466484915   5.700902846648492    -1.0599136029518412   
  smc0080   485   0.501988   0.542    0.235   0.077   0.037   -0.002   2.576    -1.249   8.8635    5.0412   18.994    0.943    0.0019443299   1      0.986   0.987    151.7    485   4       0.882    -1.737    smc0080   18.969       19.442       0.44799995   -1.494447588086051      4.650571164959011    4.8245711649590115   -1.609217279566499    
  smc0081   84    0.561208   0.533    0.202   0.055   0.046   0.044    2.781    -0.645   8.9765    5.507    19.197    0.2337   0.002782143    1      0.935   0.936    51.2     84    5       0.777    -1.574    smc0081   19.181       ""           ""           -1.478082940331543      4.90064995988147     5.07464995988147     -1.6056960442644872   
  smc0082   490   0.65775    0.556    0.183   0.09    0.065   -0.005   2.897    -0.253   9.189     6.0438   19.057    0.7556   0.0015420407   1      0.987   0.99     180.9    490   5       0.94     -1.451    smc0082   19.039       19.614       0.5570011    -1.5235847954017565     5.254507160664317    5.428507160664317    -1.5148184501849684   
  smc0083   505   0.600413   0.524    0.173   0.075   0.066   0.044    2.723    -0.797   8.9186    5.3547   19.092    0.866    0.0017148515   1      0.986   0.988    162.0    505   5       1.098    -2.046    smc0083   19.078       19.668       0.5760002    -1.807178773099536      4.813058124234937    4.987058124234937    -2.1484155281429835   
  smc0084   440   0.573385   0.662    0.214   0.094   0.089   0.001    2.663    -0.918   8.9437    5.3618   19.029    0.8989   0.0020429546   1      0.986   0.985    183.6    440   5       0.951    -1.737    smc0084   19.006       19.529       0.5          -1.6560752693638987     4.817015815467045    4.991015815467045    -1.8998034333764195   
  smc0085   470   0.674751   0.487    0.171   0.083   0.054   0.003    3.027    -0.12    9.3029    6.1532   19.091    0.8426   0.0017927659   1      0.983   0.987    129.6    470   5       1.085    -1.507    smc0085   19.071       19.681       0.59000015   -1.506838823720713      5.335248281638583    5.509248281638583    -1.43128349785502     
  smc0087   409   0.58973    0.446    0.16    0.071   0.048   -0.056   2.937    0.013    9.3327    6.4643   19.011    0.7014   0.0017149143   1      0.975   0.987    120.6    409   5       0.823    -0.999    smc0087   18.996       19.553       0.5419998    -0.7183855306791473     5.580810416539003    5.754810416539003    -0.5771165718991575   
  smc0089   446   0.612249   0.526    0.184   0.068   0.067   -0.016   2.81     -0.801   9.1259    5.5304   19.134    0.6314   0.0014156951   1      0.984   0.988    179.3    446   5       0.742    -2.08     smc0089   19.115       19.699       0.5649986    -1.7346517052799406     4.91460942724502     5.088609427245021    -1.9947986155156592   
  smc0090   506   0.611598   0.792    0.255   0.128   0.088   -0.021   2.542    -0.797   8.8663    5.5484   19.15     0.9799   0.0019365613   1      0.989   0.989    232.7    506   5       1.294    -1.674    smc0090   19.115       19.633       0.4829998    -1.7165974927875691     4.925438547174325    5.0994385471743255   -1.9628187043308323   
  smc0094   499   0.510945   0.656    0.204   0.107   0.078   0.011    2.694    -0.646   8.9562    5.6058   19.352    0.9793   0.001962525    1      0.982   0.989    193.8    499   5       0.928    -1.155    smc0094   19.328       19.845       0.49300003   -1.1265904470704697     4.960499317879766    5.134499317879766    -1.0799062546407328   
  smc0095   504   0.484386   0.827    0.261   0.124   0.098   -0.003   2.524    -1.077   8.8124    5.2148   15.701    0.2119   4.204365E-4    1      0.986   0.981    1710.7   504   5       0.816    -1.308    smc0095   15.675       16.152       0.4510002    -1.2826725649260862     4.737584900703376    4.911584900703376    -1.2625844198414988   
  smc0097   503   0.610214   0.392    0.158   0.051   0.044   0.012    2.669    -0.932   8.9293    5.3165   18.978    0.8238   0.0016377735   1      0.984   0.987    125.0    503   5       0.868    -2.15     smc0097   18.966       19.561       0.5830002    -1.8883544296488122     4.79197611678758     4.96597611678758     -2.290397453237933    
  smc0098   838   0.647521   0.464    0.166   0.07    0.056   0.013    2.716    -0.541   8.9741    5.7045   18.87     1.2142   0.001448926    1      0.991   0.99     211.0    838   5       0.841    -1.971    smc0098   18.857       19.45        0.5799999    -1.7797920819949269     5.022666197829626    5.196666197829626    -2.0020168808923096   
  smc0099   505   0.694074   0.389    0.148   0.064   0.039   0.025    3.048    -0.185   9.2815    6.0233   19.112    0.8829   0.0017483168   1      0.975   0.985    114.4    505   5       0.942    -1.708    smc0099   19.099       19.71        0.5979996    -1.739401256842318      5.23970255557308     5.413702555573081    -1.7728790321604357   
  smc0100   504   0.624385   0.517    0.172   0.078   0.063   0.007    2.85     -0.65    9.1187    5.6113   19.108    0.8315   0.0016498016   1      0.985   0.986    158.8    504   5       0.961    -1.846    smc0100   19.094       19.694       0.58600044   -1.733917615818278      4.963900892983826    5.137900892983827    -1.9706781781836966   
  smc0101   489   0.625071   0.381    0.135   0.063   0.039   -0.011   2.886    -0.192   9.1913    6.1234   18.757    0.3958   8.094069E-4    1      0.986   0.985    198.7    489   4       0.608    -1.479    smc0101   18.742       19.328       0.57099915   -1.2687948429366713     5.312965519575834    5.4869655195758344   -1.1979345024200292   
  smc0102   644   0.544322   0.495    0.225   0.064   0.024   0.039    2.772    -0.933   8.9769    5.2331   19.068    2.2778   0.0035369566   1      0.989   0.989    99.0     644   3       1.142    -2.106    smc0102   19.025       19.61        0.5419998    -1.593075772219228      4.747185911458068    4.9211859114580685   -1.7994313850477717   
  smc0103   506   0.571002   0.428    0.165   0.07    0.045   0.012    2.808    -0.549   9.067     5.6975   19.208    1.3509   0.002669763    1      0.988   0.989    94.8     506   5       1.112    -1.451    smc0103   19.184       19.795       0.5869999    -1.3730750662119648     5.01817890902787     5.19217890902787     -1.43454538035083     
  smc0104   23    0.525152   0.754    0.254   0.152   0.054   -0.045   2.361    -1.139   8.735     5.2805   19.312    0.041    0.0017826088   1      0.863   0.803    52.8     23    4       0.702    -1.073    smc0104   19.267       ""           ""           -1.4557708738867028     4.772433955582116    4.946433955582116    -1.5676041334198558   
  smc0107   505   0.572829   0.502    0.183   0.083   0.051   -0.018   2.775    -0.961   9.0945    5.3767   19.327    1.1156   0.0022091088   1      0.986   0.984    134.0    505   5       0.89     -1.954    smc0107   19.307       19.88        0.5529995    -1.6418699090324935     4.825361110138012    4.999361110138012    -1.8752130614584424   
  smc0108   480   0.610844   0.477    0.17    0.074   0.05    -0.036   2.726    -0.657   9.0815    5.7337   19.031    0.7662   0.00159625     1      0.986   0.988    154.0    480   5       0.872    -1.844    smc0108   19.014       19.659       0.62800026   -1.5566442384049877     5.041513383456419    5.215513383456419    -1.6823651000997089   
